,max_time,mean_time
0,190,10.0
1,178,22.25
2,187,8.904761904761905
3,184,8.0
4,168,12.0
5,42,8.4
6,213,8.875
7,155,12.91666666666667
8,180,13.84615384615385
9,146,18.25
10,175,11.66666666666667
11,201,15.46153846153846
12,171,19.0
13,207,12.9375
14,181,12.92857142857143
15,148,16.44444444444444
16,120,12.0
17,151,9.4375
18,168,5.090909090909091
19,181,7.24
20,182,14.0
21,172,15.63636363636364
22,177,9.833333333333334
23,179,19.88888888888889
24,177,9.833333333333334
25,179,16.27272727272727
26,173,10.8125
27,162,14.72727272727273
28,168,42.0
29,164,23.42857142857143
30,157,19.625
31,172,17.2
32,195,13.92857142857143
33,198,14.14285714285714
34,146,24.33333333333333
35,149,14.9
36,170,11.33333333333333
37,185,13.21428571428571
38,213,15.21428571428571
39,128,14.22222222222222
40,151,6.291666666666667
41,164,13.66666666666667
42,163,13.58333333333333
43,205,12.8125
44,160,6.666666666666667
45,197,19.7
46,167,11.92857142857143
47,187,15.58333333333333
48,220,20.0
49,178,14.83333333333333
50,171,9.0
51,199,15.30769230769231
52,150,7.142857142857143
53,180,9.473684210526317
54,162,4.628571428571429
55,101,12.625
56,156,17.33333333333333
57,149,12.41666666666667
58,155,17.22222222222222
59,158,14.36363636363636
60,184,18.4
61,2,0.1333333333333333
62,246,10.69565217391304
63,177,12.64285714285714
64,182,13.0
65,162,20.25
66,162,20.25
67,178,14.83333333333333
68,163,16.3
69,200,15.38461538461538
70,187,7.192307692307693
71,90,18.0
72,147,16.33333333333333
73,167,20.875
74,187,15.58333333333333
75,130,14.44444444444444
76,188,26.85714285714286
77,221,9.208333333333334
78,175,10.9375
79,198,15.23076923076923
80,173,24.71428571428572
81,207,7.137931034482759
82,167,8.789473684210526
83,178,12.71428571428571
84,148,21.14285714285714
85,173,14.41666666666667
86,190,17.27272727272727
87,159,12.23076923076923
88,175,19.44444444444444
89,180,12.0
90,145,10.35714285714286
91,144,16.0
92,168,18.66666666666667
93,144,9.6
94,180,7.826086956521739
95,171,15.54545454545454
96,173,14.41666666666667
97,131,14.55555555555556
98,167,23.85714285714286
99,186,20.66666666666667
100,120,13.33333333333333
101,183,8.714285714285714
102,187,14.38461538461538
103,180,12.0
104,192,19.2
105,185,14.23076923076923
106,191,5.617647058823529
107,147,16.33333333333333
108,156,22.28571428571428
109,183,30.5
110,209,13.0625
111,174,14.5
112,175,13.46153846153846
113,147,21.0
114,185,7.4
115,181,6.464285714285714
116,193,8.772727272727273
117,190,9.047619047619047
118,173,7.521739130434782
119,165,20.625
120,133,16.625
121,117,23.4
122,156,17.33333333333333
123,163,27.16666666666667
124,164,14.90909090909091
125,211,13.1875
126,143,23.83333333333333
127,166,23.71428571428572
128,155,22.14285714285714
129,157,14.27272727272727
130,147,21.0
131,180,25.71428571428572
132,125,9.615384615384617
133,135,13.5
134,135,19.28571428571428
135,187,17.0
136,206,15.84615384615385
137,155,15.5
138,134,22.33333333333333
139,260,8.666666666666666
140,200,12.5
141,124,20.66666666666667
142,193,7.148148148148148
143,175,19.44444444444444
144,174,17.4
145,170,15.45454545454546
146,178,11.86666666666667
147,170,10.625
148,189,10.5
149,180,12.85714285714286
150,170,13.07692307692308
151,164,20.5
152,165,9.705882352941176
153,160,26.66666666666667
154,231,15.4
155,180,9.0
156,151,18.875
157,198,13.2
158,176,10.35294117647059
159,186,10.33333333333333
160,176,11.73333333333333
161,179,11.1875
162,179,14.91666666666667
163,117,23.4
164,201,11.16666666666667
165,214,14.26666666666667
166,165,27.5
167,148,24.66666666666667
168,180,15.0
169,180,20.0
170,193,14.84615384615385
171,182,10.11111111111111
172,164,27.33333333333333
173,180,13.84615384615385
174,188,15.66666666666667
175,174,19.33333333333333
176,188,15.66666666666667
177,169,16.9
178,157,17.44444444444444
179,192,12.8
180,127,21.16666666666667
181,168,12.0
182,171,13.15384615384615
183,174,21.75
184,182,18.2
185,162,16.2
186,168,6.461538461538462
187,178,10.47058823529412
188,145,20.71428571428572
189,178,14.83333333333333
190,201,11.82352941176471
191,153,17.0
192,178,11.86666666666667
193,180,16.36363636363636
194,153,10.2
195,171,10.6875
196,189,13.5
197,91,22.75
198,178,19.77777777777778
199,177,14.75
200,160,10.0
201,163,23.28571428571428
202,172,10.11764705882353
203,153,19.125
204,183,12.2
205,187,10.38888888888889
206,156,17.33333333333333
207,127,25.4
208,153,17.0
209,170,10.0
210,174,11.6
211,200,9.090909090909092
212,188,17.09090909090909
213,166,9.764705882352942
214,155,11.92307692307692
215,153,13.90909090909091
216,154,8.555555555555555
217,176,9.77777777777778
218,165,11.78571428571429
219,166,23.71428571428572
220,161,23.0
221,176,12.57142857142857
222,181,18.1
223,170,21.25
224,180,15.0
